sensor,day,date,time,rh,temp
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:08:19, 1476270499.0, 46, 22.47703125
00:a0:50:0b:18:19, Wed, 12 Oct 2016 11:09:28, 1476270568.0, 45, 22.47703125
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:12:53, 1476270773.0, 46, 22.47703125
00:a0:50:0b:18:19, Wed, 12 Oct 2016 11:14:29, 1476270869.0, 44, 22.47703125
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:17:26, 1476271046.0, 45, 22.47703125
00:a0:50:0b:18:19, Wed, 12 Oct 2016 11:19:30, 1476271170.0, 44, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:21:59, 1476271319.0, 45, 22.47703125
00:a0:50:0b:18:19, Wed, 12 Oct 2016 11:24:31, 1476271471.0, 44, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:31:04, 1476271864.0, 45, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 11:34:31, 1476272071.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:40:09, 1476272409.0, 45, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 11:44:31, 1476272671.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:44:42, 1476272682.0, 45, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:49:14, 1476272954.0, 44, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 11:49:31, 1476272971.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:53:47, 1476273227.0, 44, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 11:54:31, 1476273271.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 11:58:19, 1476273499.0, 44, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 12:04:32, 1476273872.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 12:07:24, 1476274044.0, 44, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 12:11:56, 1476274316.0, 44, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 12:14:32, 1476274472.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 12:16:29, 1476274589.0, 45, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 12:19:32, 1476274772.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 12:21:01, 1476274861.0, 44, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 12:24:32, 1476275072.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 12:25:34, 1476275134.0, 44, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 12:29:32, 1476275372.0, 43, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 12:30:06, 1476275406.0, 45, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 12:34:39, 1476275679.0, 45, 23.1634375
00:a0:50:06:13:0e, Wed, 12 Oct 2016 12:39:11, 1476275951.0, 44, 23.1634375
00:a0:50:0b:18:19, Wed, 12 Oct 2016 12:39:32, 1476275972.0, 43, 23.1634375
